X,Y
262,292
262,292
297,283
288,267
284,265
287,267
290,276
291,263
294,263
289,257
299,251
303,243
311,246
317,254
290,273
278,285
276,282
269,270
264,271
263,273
271,277
275,281
264,287
270,282
265,277
255,271
258,267
254,266
254,265
254,266
256,267
265,272
266,273
270,273
277,275
282,275
292,277
296,280
314,282
336,283
341,285
346,281
343,280
321,285
305,284
289,278
284,259
274,252
278,235
280,228
283,229
294,250
303,258
313,261
319,249
316,239
314,238
315,240
319,249
320,249
320,250
319,248
317,248
317,245
317,246
316,245
316,246
316,246
316,247
316,247
316,246
317,248
318,249
318,248
316,247
316,247
316,246
316,246
316,246
318,246
317,244
316,244
319,247
319,245
317,245
315,244
312,245
312,245
314,245
312,245
312,245
310,244
309,243
313,246
314,247
313,246
311,246
311,248
312,248
312,248
312,249
313,250
309,251
307,252
307,251
306,250
303,249
305,250
303,249
302,248
308,250
314,249
318,251
322,253
324,252
321,252
319,252
314,249
306,251
305,251
301,255
299,252
302,252
301,252
306,252
311,253
317,252
319,254
319,253
319,249
314,249
314,247
317,250
316,246
316,248
312,249
311,248
305,247
298,246
292,244
288,247
288,247
285,247
292,250
305,251
316,252
324,248
340,250
343,251
350,253
349,253
342,252
324,249
313,249
313,248
312,249
312,247
321,251
323,251
323,251
323,251
323,251
323,251
323,250
322,250
321,250
321,249
320,249
322,248
320,249
320,249
321,249
323,247
320,246
321,247
321,247
321,248
322,248
319,250
321,250
320,250
321,250
320,250
321,251
320,250
319,250
322,252
322,250
317,244
312,237
313,229
312,229
312,230
320,229
318,232
317,233
316,234
316,234
316,234
316,234
318,234
320,236
318,234
318,235
317,236
315,239
313,238
314,240
313,242
316,243
314,242
315,242
313,242
316,241
316,238
318,236
319,235
322,235
322,237
323,238
323,237
323,238
321,240
321,240
320,240
318,239
315,237
316,236
315,235
313,234
313,235
313,234
314,233
313,233
314,234
314,234
314,235
313,234
313,234
308,235
303,232
304,232
304,233
305,234
305,234
306,234
307,233
312,234
309,233
311,233
310,233
309,234
309,235
309,236
310,237
310,237
313,241
316,245
311,242
307,243
298,251
296,252
295,251
294,252
298,252
297,252
296,250
293,247
293,243
289,239
288,237
286,234
282,229
287,234
306,238
330,247
338,245
333,244
327,245
316,246
301,248
300,249
296,247
299,247
310,249
309,246
311,247
312,247
312,247
311,245
310,245
310,244
309,244
311,243
312,243
311,242
313,243
311,243
312,244
311,244
312,245
311,245
311,245
309,245
309,245
310,245
309,245
309,245
309,246
309,245
307,244
308,245
308,246
310,248
310,247
309,247
309,248
308,247
306,245
306,244
308,245
308,246
310,246
309,247
310,247
310,248
309,248
309,248
308,249
310,248
309,249
308,249
309,249
308,248
308,248
308,248
310,248
309,248
310,248
310,248
310,249
310,249
311,249
310,249
309,251
308,249
307,248
305,248
305,247
304,248
304,248
304,249
304,248
301,248
298,248
301,249
301,249
300,250
302,251
300,252
301,251
303,251
310,253
318,257
318,258
320,260
319,260
314,255
308,252
307,249
307,246
308,248
313,251
318,254
318,254
317,254
316,253
316,252
314,251
314,253
315,253
314,254
313,254
314,254
313,255
310,253
313,256
311,257
314,258
313,259
314,258
314,258
313,257
319,259
322,260
322,260
322,260
320,260
318,257
315,252
313,251
311,253
311,253
311,254
312,254
313,256
311,257
310,258
308,257
307,256
309,257
309,255
